"OrderID","OrderDate","ShipDate","CustomerName","Region","Segment","Category","SubCategory","TotalSales","TotalProfit","TotalQuantity","ProfitMargin","AvgDiscount"
"CA-2014-100006","4/18/1989","4/18/1995","Dennis Kane","East","Consumer","Technology","Phones","377.97","109.6113","3","0.29","0"
"CA-2014-100090","4/18/2028","4/18/1932","Ed Braxton","East","Corporate","Furniture","Tables","502.488","-87.9354","3","-0.175","0.2"
"CA-2014-100090","4/18/2028","4/18/1932","Ed Braxton","East","Corporate","Office Supplies","Binders","196.704","68.8464","6","0.35","0.2"
"CA-2014-100293","4/17/2012","4/17/2016","Neil Französisch","Central","Home Office","Office Supplies","Paper","91.056","31.8696","6","0.35","0.2"
"CA-2014-100328","4/16/1967","4/16/1973","Jasper Cacioppo","West","Consumer","Office Supplies","Binders","3.928","1.3257","1","0.338","0.2"
"CA-2014-100363","4/17/1937","4/17/1944","Jim Mitchum","East","Corporate","Office Supplies","Fasteners","2.368","0.8288","2","0.35","0.2"
"CA-2014-100363","4/17/1937","4/17/1944","Jim Mitchum","East","Corporate","Office Supplies","Paper","19.008","6.8904","3","0.362","0.2"
"CA-2014-100391","4/17/1984","4/17/1988","Barry Weirich","South","Consumer","Office Supplies","Paper","14.62","6.7252","2","0.46","0"
"CA-2014-100678","4/17/1947","4/17/1951","Kunst Miller","West","Consumer","Furniture","Chairs","317.058","-18.1176","3","-0.057","0.3"
"CA-2014-100678","4/17/1947","4/17/1951","Kunst Miller","West","Consumer","Office Supplies","Art","2.688","1.008","2","0.375","0.2"
"CA-2014-100678","4/17/1947","4/17/1951","Kunst Miller","West","Consumer","Office Supplies","Envelopes","149.352","50.4063","3","0.338","0.2"
"CA-2014-100678","4/17/1947","4/17/1951","Kunst Miller","West","Consumer","Technology","Accessories","227.976","28.497","3","0.125","0.2"
"CA-2014-100706","4/19/1989","4/19/1991","Laurel Elliston","West","Consumer","Furniture","Furnishings","29.46","9.7218","6","0.33","0"
"CA-2014-100706","4/19/1989","4/19/1991","Laurel Elliston","West","Consumer","Technology","Accessories","99.98","7.9984","2","0.08","0"
"CA-2014-100762","4/19/1967","4/19/1972","Nat Gilpin","East","Corporate","Office Supplies","Art","151.92","45.576","4","0.3","0"
"CA-2014-100762","4/19/1967","4/19/1972","Nat Gilpin","East","Corporate","Office Supplies","Labels","196.62","96.3438","2","0.49","0"
"CA-2014-100762","4/19/1967","4/19/1972","Nat Gilpin","East","Corporate","Office Supplies","Paper","160.08","77.1576","5","0.482","0"
"CA-2014-100860","4/17/2024","4/17/2028","Cindy Stewart","South","Consumer","Office Supplies","Labels","18.75","9","5","0.48","0"
"CA-2014-100867","4/19/1931","4/19/1936","Eugene Hildebrand","Central","Home Office","Technology","Phones","321.552","20.097","6","0.063","0.2"
"CA-2014-100881","4/17/2026","4/17/1930","Daniel Raglin","East","Home Office","Technology","Phones","302.376","22.6782","3","0.075","0.2"
"CA-2014-100895","4/17/1992","4/17/1996","Stewart Visinsky","West","Consumer","Office Supplies","Art","8.56","2.6536","2","0.31","0"
"CA-2014-100895","4/17/1992","4/17/1996","Stewart Visinsky","West","Consumer","Office Supplies","Storage","356.94","107.082","2","0.3","0"
"CA-2014-100895","4/17/1992","4/17/1996","Stewart Visinsky","West","Consumer","Technology","Phones","239.97","67.1916","3","0.28","0"
"CA-2014-100916","4/19/1933","4/19/1938","Frank Hawley","Central","Corporate","Furniture","Tables","591.32","112.3508","4","0.19","0"
"CA-2014-100916","4/19/1933","4/19/1938","Frank Hawley","Central","Corporate","Office Supplies","Art","2.84","0.8804","1","0.31","0"
"CA-2014-100916","4/19/1933","4/19/1938","Frank Hawley","Central","Corporate","Office Supplies","Storage","194.7","9.735","5","0.05","0"
"CA-2014-100972","4/19/1962","4/19/1967","Dennis Bolton","East","Home Office","Office Supplies","Paper","166.44","79.8912","3","0.48","0"
"CA-2014-101147","4/19/1975","4/19/1977","Matt Collins","East","Consumer","Office Supplies","Appliances","2.394","-6.3441","1","-2.65","0.8"
"CA-2014-101175","4/19/1982","4/19/1987","Dario Medina","Central","Corporate","Office Supplies","Storage","100.704","-1.2588","6","-0.013","0.2"
"CA-2014-101266","4/18/1978","4/18/1981","Michael Moore","West","Consumer","Office Supplies","Paper","13.36","6.4128","2","0.48","0"
"CA-2014-101364","4/19/1995","4/19/1999","Tamara Willingham","West","Home Office","Office Supplies","Binders","296.712","100.1403","13","0.338","0.2"
"CA-2014-101392","4/19/1980","4/19/1986","Ann Steele","Central","Home Office","Office Supplies","Storage","269.36","70.0336","7","0.26","0"
"CA-2014-101427","4/19/1999","4/20/2003","Andy Yotov","West","Corporate","Office Supplies","Art","8.016","1.1022","3","0.138","0.2"
"CA-2014-101462","4/17/1949","4/17/1954","Benjamin Patterson","West","Consumer","Furniture","Furnishings","59.92","27.5632","4","0.46","0"
"CA-2014-101476","4/18/1994","4/18/1995","Shirley Daniels","East","Home Office","Technology","Machines","69.99","30.0957","1","0.43","0"
"CA-2014-101560","4/19/1971","4/19/1974","Chris Selesnick","South","Corporate","Furniture","Furnishings","397.6","43.736","5","0.11","0"
"CA-2014-101560","4/19/1971","4/19/1974","Chris Selesnick","South","Corporate","Office Supplies","Art","13.12","4.3296","4","0.33","0"
"CA-2014-101560","4/19/1971","4/19/1974","Chris Selesnick","South","Corporate","Office Supplies","Binders","45.66","22.3734","3","0.49","0"
"CA-2014-101560","4/19/1971","4/19/1974","Chris Selesnick","South","Corporate","Office Supplies","Paper","85.96","40.4012","7","0.47","0"
"CA-2014-101602","4/19/1988","4/19/1991","Mick Crebagga","Central","Consumer","Furniture","Chairs","763.28","-21.808","5","-0.029","0.3"
"CA-2014-101602","4/19/1988","4/19/1991","Mick Crebagga","Central","Consumer","Technology","Phones","40.68","-9.153","3","-0.225","0.2"
"CA-2014-101770","4/17/2029","4/17/1933","Karen Bern","West","Corporate","Office Supplies","Binders","1.869","-1.3083","1","-0.7","0.7"
"CA-2014-101833","4/19/1960","4/19/1965","Frank Gastineau","West","Home Office","Office Supplies","Paper","34.44","17.22","3","0.5","0"
"CA-2014-101931","4/19/1940","4/19/1943","Todd Sumrall","East","Corporate","Furniture","Bookcases","616.998","-36.294","6","-0.059","0.15"
"CA-2014-101931","4/19/1940","4/19/1943","Todd Sumrall","East","Corporate","Office Supplies","Binders","7.184","2.245","2","0.313","0.2"
"CA-2014-101931","4/19/1940","4/19/1943","Todd Sumrall","East","Corporate","Office Supplies","Storage","141.4","38.178","5","0.27","0"
