OrderID,OrderDate,ShipDate,CustomerName,Region,Segment,Category,SubCategory,TotalSales,TotalProfit,TotalQuantity,ProfitMargin,AvgDiscount
CA-2014-100006,1989-04-18,1995-04-18,Dennis Kane,East,Consumer,Technology,Phones,377.97,109.6113,3,0.29,0.0
CA-2014-100090,2028-04-18,1932-04-18,Ed Braxton,East,Corporate,Furniture,Tables,502.488,-87.9354,3,-0.175,0.2
CA-2014-100090,2028-04-18,1932-04-18,Ed Braxton,East,Corporate,Office Supplies,Binders,196.704,68.8464,6,0.35,0.2
CA-2014-100293,2012-04-17,2016-04-17,Neil Französisch,Central,Home Office,Office Supplies,Paper,91.056,31.8696,6,0.35,0.2
CA-2014-100328,1967-04-16,1973-04-16,Jasper Cacioppo,West,Consumer,Office Supplies,Binders,3.928,1.3257,1,0.338,0.2
CA-2014-100363,1937-04-17,1944-04-17,Jim Mitchum,East,Corporate,Office Supplies,Fasteners,2.368,0.8288,2,0.35,0.2
CA-2014-100363,1937-04-17,1944-04-17,Jim Mitchum,East,Corporate,Office Supplies,Paper,19.008,6.8904,3,0.362,0.2
CA-2014-100391,1984-04-17,1988-04-17,Barry Weirich,South,Consumer,Office Supplies,Paper,14.62,6.7252,2,0.46,0.0
CA-2014-100678,1947-04-17,1951-04-17,Kunst Miller,West,Consumer,Furniture,Chairs,317.058,-18.1176,3,-0.057,0.3
CA-2014-100678,1947-04-17,1951-04-17,Kunst Miller,West,Consumer,Office Supplies,Art,2.688,1.008,2,0.375,0.2
CA-2014-100678,1947-04-17,1951-04-17,Kunst Miller,West,Consumer,Office Supplies,Envelopes,149.352,50.4063,3,0.338,0.2
CA-2014-100678,1947-04-17,1951-04-17,Kunst Miller,West,Consumer,Technology,Accessories,227.976,28.497,3,0.125,0.2
CA-2014-100706,1989-04-19,1991-04-19,Laurel Elliston,West,Consumer,Furniture,Furnishings,29.46,9.7218,6,0.33,0.0
CA-2014-100706,1989-04-19,1991-04-19,Laurel Elliston,West,Consumer,Technology,Accessories,99.98,7.9984,2,0.08,0.0
CA-2014-100762,1967-04-19,1972-04-19,Nat Gilpin,East,Corporate,Office Supplies,Art,151.92,45.576,4,0.3,0.0
CA-2014-100762,1967-04-19,1972-04-19,Nat Gilpin,East,Corporate,Office Supplies,Labels,196.62,96.3438,2,0.49,0.0
CA-2014-100762,1967-04-19,1972-04-19,Nat Gilpin,East,Corporate,Office Supplies,Paper,160.08,77.1576,5,0.482,0.0
CA-2014-100860,2024-04-17,2028-04-17,Cindy Stewart,South,Consumer,Office Supplies,Labels,18.75,9.0,5,0.48,0.0
CA-2014-100867,1931-04-19,1936-04-19,Eugene Hildebrand,Central,Home Office,Technology,Phones,321.552,20.097,6,0.062,0.2
CA-2014-100881,2026-04-17,1930-04-17,Daniel Raglin,East,Home Office,Technology,Phones,302.376,22.6782,3,0.075,0.2
CA-2014-100895,1992-04-17,1996-04-17,Stewart Visinsky,West,Consumer,Office Supplies,Art,8.56,2.6536,2,0.31,0.0
CA-2014-100895,1992-04-17,1996-04-17,Stewart Visinsky,West,Consumer,Office Supplies,Storage,356.94,107.082,2,0.3,0.0
CA-2014-100895,1992-04-17,1996-04-17,Stewart Visinsky,West,Consumer,Technology,Phones,239.97,67.1916,3,0.28,0.0
